              X-LABS DATA FORM
============================================
material_uid                  	MATX-HP-M028
Measurement                   	ICP
Pb concentration              	0.7
Sn concentration              	0.2
O Concentration               	1.1
Gas Flow Rate (L/min)         	13
Gas Type                      	Ar
Plasma Temperature (celsius)  	10000
Detector Temperature (celsius)	0
Field Strength (T)            	1
Plasma Observation            	Radial
Radio Frequency (MHz)         	58
